CUST_CODE,LastPurshaceDate,Recency,Freqyency,Monetary,R_tertile,F_tertile,M_tertile,RFM_Score,segment_name
CUST0000000689,2008-06-23,13,16,20.39,3,1,1,311,Recent customer
CUST0000001163,2008-06-22,14,1,0.52,3,3,3,333,Campion
CUST0000001194,2008-06-20,16,55,103.39,3,1,1,311,Recent customer
CUST0000002605,2008-06-12,24,2,0.6,2,2,3,223,potential Lotalist
CUST0000002637,2008-05-30,37,4,7.76,2,2,2,222,Average
CUST0000002813,2008-04-12,85,12,12.8,2,1,1,211,About to sleep
CUST0000003028,2008-01-04,184,6,8.24,1,2,2,122,About to sleep
CUST0000003287,2008-05-10,57,6,7.5600000000000005,2,2,2,222,Average
CUST0000004088,2008-06-29,7,35,50.21,3,1,1,311,Recent customer
CUST0000005054,2008-06-15,21,3,2.5700000000000003,3,2,2,322,potential Lotalist
CUST0000005057,2008-04-09,88,1,0.56,2,3,3,233,Loyal
CUST0000006193,2007-11-10,239,1,0.86,1,3,3,133,Cannot Loose them
CUST0000006298,2008-03-02,126,1,0.26,1,3,3,133,Cannot Loose them
CUST0000006666,2008-05-19,48,2,1.2999999999999998,2,2,3,223,potential Lotalist
CUST0000007392,2008-06-05,31,2,0.67,2,2,3,223,potential Lotalist
CUST0000007712,2008-06-01,35,6,6.3100000000000005,2,2,2,222,Average
CUST0000007759,2008-01-06,182,1,0.72,1,3,3,133,Cannot Loose them
CUST0000007860,2008-06-26,10,24,41.54,3,1,1,311,Recent customer
CUST0000007939,2008-06-29,7,3,2.21,3,2,2,322,potential Lotalist
CUST0000007960,2008-03-31,97,2,3.69,2,2,2,222,Average
CUST0000008415,2008-07-05,1,156,216.11,3,1,1,311,Recent customer
CUST0000010267,2008-04-12,85,1,1.51,2,3,3,233,Loyal
CUST0000011202,2008-04-20,77,3,3.2300000000000004,2,2,2,222,Average
CUST0000012198,2007-09-07,303,2,0.33,1,2,3,123,Cannot Loose them
CUST0000012784,2008-07-05,1,29,48.19,3,1,1,311,Recent customer
CUST0000013258,2008-06-09,27,14,9.32,2,1,2,212,About to sleep
CUST0000015935,2008-06-24,12,2,1.72,3,2,3,323,Loyal
CUST0000016396,2007-10-27,253,2,0.02,1,2,3,123,Cannot Loose them
CUST0000016404,2008-06-30,6,63,141.63,3,1,1,311,Recent customer
CUST0000016683,2008-03-21,107,1,9.3,2,3,2,232,Loyal
CUST0000016697,2007-11-12,237,1,0.39,1,3,3,133,Cannot Loose them
CUST0000017325,2008-07-06,0,81,116.95,3,1,1,311,Recent customer
CUST0000017569,2008-02-13,144,1,0.61,1,3,3,133,Cannot Loose them
CUST0000017570,2007-12-13,206,3,6.18,1,2,2,122,About to sleep
CUST0000018464,2008-03-28,100,3,1.5899999999999999,2,2,3,223,potential Lotalist
CUST0000018509,2008-02-24,133,1,0.54,1,3,3,133,Cannot Loose them
CUST0000018748,2007-08-02,339,1,0.51,1,3,3,133,Cannot Loose them
CUST0000019198,2008-06-20,16,6,27.24,3,2,1,321,Average
CUST0000019732,2008-06-02,34,13,15.96,2,1,1,211,About to sleep
CUST0000021161,2008-06-25,11,5,7.51,3,2,2,322,potential Lotalist
CUST0000021218,2008-07-05,1,100,168.41,3,1,1,311,Recent customer
CUST0000022116,2008-04-06,91,5,6.67,2,2,2,222,Average
CUST0000022777,2007-12-25,194,2,5.220000000000001,1,2,2,122,About to sleep
CUST0000023030,2007-07-14,358,1,2.27,1,3,2,132,Cannot Loose them
CUST0000023689,2008-03-29,99,2,7.28,2,2,2,222,Average
CUST0000025370,2008-01-08,180,2,1.6300000000000001,1,2,3,123,Cannot Loose them
CUST0000025691,2008-03-23,105,3,3.59,2,2,2,222,Average
CUST0000025746,2008-03-15,113,4,10.08,1,2,1,121,About to sleep
CUST0000025794,2008-04-30,67,2,2.1,2,2,2,222,Average
CUST0000025985,2007-08-18,323,1,0.98,1,3,3,133,Cannot Loose them
CUST0000026017,2008-03-27,101,1,0.01,2,3,3,233,Loyal
CUST0000026371,2007-08-18,323,1,0.53,1,3,3,133,Cannot Loose them
CUST0000027496,2008-04-15,82,2,0.94,2,2,3,223,potential Lotalist
CUST0000028248,2007-07-21,351,2,3.67,1,2,2,122,About to sleep
CUST0000028322,2008-06-24,12,35,52.64,3,1,1,311,Recent customer
CUST0000028656,2008-04-15,82,3,3.2299999999999995,2,2,2,222,Average
CUST0000029089,2008-05-14,53,18,31.97,2,1,1,211,About to sleep
CUST0000029230,2007-10-07,273,1,2.39,1,3,2,132,Cannot Loose them
CUST0000029792,2008-07-02,4,6,4.97,3,2,2,322,potential Lotalist
CUST0000030075,2008-06-20,16,1,1.03,3,3,3,333,Campion
CUST0000030095,2008-07-02,4,6,6.28,3,2,2,322,potential Lotalist
CUST0000030592,2008-05-16,51,3,1.13,2,2,3,223,potential Lotalist
CUST0000030719,2008-01-08,180,2,2.47,1,2,2,122,About to sleep
CUST0000031233,2008-07-05,1,8,19.37,3,1,1,311,Recent customer
CUST0000031949,2008-06-09,27,2,2.16,2,2,2,222,Average
CUST0000032037,2008-06-14,22,57,72.28999999999999,3,1,1,311,Recent customer
CUST0000032179,2008-06-23,13,6,26.31,3,2,1,321,Average
CUST0000033021,2008-06-24,12,16,26.37,3,1,1,311,Recent customer
CUST0000034413,2008-06-16,20,4,2.86,3,2,2,322,potential Lotalist
CUST0000034681,2008-05-27,40,6,27.53,2,2,1,221,About to sleep
CUST0000035164,2008-04-22,75,1,0.97,2,3,3,233,Loyal
CUST0000035234,2008-06-27,9,2,3.2800000000000002,3,2,2,322,potential Lotalist
CUST0000035278,2008-04-20,77,1,1.0,2,3,3,233,Loyal
CUST0000035890,2008-06-28,8,74,90.55,3,1,1,311,Recent customer
CUST0000036040,2007-12-29,190,1,4.18,1,3,2,132,Cannot Loose them
CUST0000036136,2008-06-30,6,91,126.88,3,1,1,311,Recent customer
CUST0000036480,2007-07-06,366,1,0.21,1,3,3,133,Cannot Loose them
CUST0000036515,2008-06-03,33,1,2.06,2,3,2,232,Loyal
CUST0000037123,2008-07-03,3,100,103.4,3,1,1,311,Recent customer
CUST0000038406,2007-08-17,324,1,12.1,1,3,1,131,About to sleep
CUST0000038488,2008-05-28,39,3,2.34,2,2,2,222,Average
CUST0000038546,2008-06-28,8,11,12.57,3,1,1,311,Recent customer
CUST0000038693,2008-06-18,18,17,27.19,3,1,1,311,Recent customer
CUST0000038720,2008-06-24,12,3,15.86,3,2,1,321,Average
CUST0000039309,2008-07-04,2,4,4.14,3,2,2,322,potential Lotalist
CUST0000039796,2008-04-22,75,2,3.26,2,2,2,222,Average
CUST0000040538,2008-02-20,137,1,0.86,1,3,3,133,Cannot Loose them
CUST0000040739,2007-09-04,306,1,1.12,1,3,3,133,Cannot Loose them
CUST0000041078,2008-06-16,20,13,27.54,3,1,1,311,Recent customer
CUST0000041090,2008-06-01,35,16,18.31,2,1,1,211,About to sleep
CUST0000041470,2007-08-04,337,1,1.27,1,3,3,133,Cannot Loose them
CUST0000042176,2008-05-15,52,11,8.91,2,1,2,212,About to sleep
CUST0000042205,2007-10-19,261,1,0.25,1,3,3,133,Cannot Loose them
CUST0000043221,2007-08-31,310,1,0.8,1,3,3,133,Cannot Loose them
CUST0000043264,2007-09-08,302,3,10.16,1,2,1,121,About to sleep
CUST0000043541,2008-04-15,82,5,5.609999999999999,2,2,2,222,Average
CUST0000043884,2008-01-03,185,4,6.130000000000001,1,2,2,122,About to sleep
CUST0000044707,2008-06-29,7,22,14.72,3,1,1,311,Recent customer
CUST0000044880,2008-06-26,10,17,37.29,3,1,1,311,Recent customer
CUST0000045491,2008-05-01,66,2,3.0100000000000002,2,2,2,222,Average
CUST0000045545,2008-06-24,12,9,39.71,3,1,1,311,Recent customer
CUST0000046733,2008-04-16,81,2,1.1,2,2,3,223,potential Lotalist
CUST0000046978,2008-06-13,23,3,10.52,3,2,1,321,Average
CUST0000047511,2007-09-29,281,2,1.89,1,2,3,123,Cannot Loose them
CUST0000047700,2008-07-02,4,4,4.89,3,2,2,322,potential Lotalist
CUST0000048395,2008-07-04,2,32,63.019999999999996,3,1,1,311,Recent customer
CUST0000048521,2008-06-08,28,14,10.97,2,1,1,211,About to sleep
CUST0000048934,2007-09-08,302,2,1.04,1,2,3,123,Cannot Loose them
CUST0000049077,2008-07-01,5,37,49.21,3,1,1,311,Recent customer
CUST0000049643,2008-05-24,43,5,11.18,2,2,1,221,About to sleep
CUST0000049674,2008-05-21,46,17,28.91,2,1,1,211,About to sleep
CUST0000050375,2007-07-18,354,1,1.59,1,3,3,133,Cannot Loose them
CUST0000050780,2008-01-18,170,1,0.98,1,3,3,133,Cannot Loose them
CUST0000051551,2007-08-26,315,1,2.91,1,3,2,132,Cannot Loose them
CUST0000051723,2007-07-09,363,1,2.11,1,3,2,132,Cannot Loose them
CUST0000051771,2008-05-29,38,3,5.69,2,2,2,222,Average
CUST0000052854,2008-07-01,5,125,215.56,3,1,1,311,Recent customer
CUST0000053261,2007-10-23,257,2,1.42,1,2,3,123,Cannot Loose them
CUST0000053659,2007-11-23,226,1,1.28,1,3,3,133,Cannot Loose them
CUST0000053860,2008-03-24,104,2,1.96,2,2,3,223,potential Lotalist
CUST0000053927,2008-06-26,10,33,40.86,3,1,1,311,Recent customer
CUST0000054137,2008-06-21,15,16,33.38,3,1,1,311,Recent customer
CUST0000054148,2008-04-24,73,1,1.27,2,3,3,233,Loyal
CUST0000054182,2008-04-27,70,2,0.9,2,2,3,223,potential Lotalist
CUST0000054964,2008-05-22,45,1,0.57,2,3,3,233,Loyal
CUST0000056376,2007-07-20,352,1,0.01,1,3,3,133,Cannot Loose them
CUST0000056767,2007-07-18,354,1,3.02,1,3,2,132,Cannot Loose them
CUST0000056813,2008-06-08,28,10,11.459999999999999,2,1,1,211,About to sleep
CUST0000057304,2008-07-01,5,14,7.72,3,1,2,312,Recent customer
CUST0000057656,2008-03-15,113,4,12.11,1,2,1,121,About to sleep
CUST0000057847,2008-06-29,7,36,64.08,3,1,1,311,Recent customer
CUST0000057912,2007-10-20,260,1,0.56,1,3,3,133,Cannot Loose them
CUST0000058269,2008-06-23,13,49,53.58,3,1,1,311,Recent customer
CUST0000058881,2008-05-13,54,5,3.83,2,2,2,222,Average
CUST0000059002,2008-07-01,5,2,7.11,3,2,2,322,potential Lotalist
CUST0000059403,2008-04-08,89,3,2.22,2,2,2,222,Average
CUST0000059479,2008-06-11,25,20,27.63,2,1,1,211,About to sleep
CUST0000061512,2008-05-29,38,3,3.6,2,2,2,222,Average
CUST0000061537,2007-11-23,226,1,0.8,1,3,3,133,Cannot Loose them
CUST0000061543,2007-09-07,303,1,1.76,1,3,3,133,Cannot Loose them
CUST0000062155,2008-07-04,2,7,7.44,3,1,2,312,Recent customer
CUST0000062534,2007-08-22,319,1,1.42,1,3,3,133,Cannot Loose them
CUST0000063086,2007-08-28,313,1,3.45,1,3,2,132,Cannot Loose them
CUST0000063931,2008-07-04,2,49,61.99,3,1,1,311,Recent customer
CUST0000064428,2007-10-10,270,1,0.64,1,3,3,133,Cannot Loose them
CUST0000064714,2007-12-18,201,1,6.78,1,3,2,132,Cannot Loose them
CUST0000065412,2008-07-03,3,7,5.890000000000001,3,1,2,312,Recent customer
CUST0000065693,2008-05-11,56,2,1.96,2,2,3,223,potential Lotalist
CUST0000065935,2008-06-03,33,17,25.8,2,1,1,211,About to sleep
CUST0000066180,2008-06-12,24,4,3.55,2,2,2,222,Average
CUST0000067369,2008-06-18,18,5,6.6899999999999995,3,2,2,322,potential Lotalist
CUST0000067538,2008-02-21,136,1,6.42,1,3,2,132,Cannot Loose them
CUST0000067645,2007-09-14,296,4,8.09,1,2,2,122,About to sleep
CUST0000068327,2008-06-04,32,1,0.92,2,3,3,233,Loyal
CUST0000068394,2008-07-04,2,159,271.75,3,1,1,311,Recent customer
CUST0000068970,2008-06-24,12,31,51.86,3,1,1,311,Recent customer
CUST0000069322,2008-06-19,17,2,3.25,3,2,2,322,potential Lotalist
CUST0000069479,2008-06-12,24,3,3.9000000000000004,2,2,2,222,Average
CUST0000069522,2008-06-17,19,12,31.860000000000003,3,1,1,311,Recent customer
CUST0000069724,2008-05-04,63,2,2.21,2,2,2,222,Average
CUST0000069958,2008-03-18,110,1,0.53,1,3,3,133,Cannot Loose them
CUST0000070200,2008-06-13,23,9,63.5,3,1,1,311,Recent customer
CUST0000070554,2008-06-02,34,1,10.31,2,3,1,231,Average
CUST0000070861,2007-12-14,205,2,2.33,1,2,2,122,About to sleep
CUST0000071010,2008-04-22,75,2,1.43,2,2,3,223,potential Lotalist
CUST0000071601,2008-07-06,0,2,1.73,3,2,3,323,Loyal
CUST0000071788,2008-05-24,43,1,1.31,2,3,3,233,Loyal
CUST0000071812,2008-02-17,140,1,2.11,1,3,2,132,Cannot Loose them
CUST0000071969,2008-05-04,63,1,0.86,2,3,3,233,Loyal
CUST0000072062,2007-12-05,214,2,4.140000000000001,1,2,2,122,About to sleep
CUST0000072406,2008-04-23,74,2,3.51,2,2,2,222,Average
CUST0000072736,2007-09-23,287,1,0.03,1,3,3,133,Cannot Loose them
CUST0000073259,2008-05-28,39,4,7.17,2,2,2,222,Average
CUST0000074259,2008-06-23,13,43,75.59,3,1,1,311,Recent customer
CUST0000074663,2007-12-05,214,1,0.98,1,3,3,133,Cannot Loose them
CUST0000074994,2008-06-24,12,3,3.05,3,2,2,322,potential Lotalist
CUST0000075000,2008-05-22,45,5,17.28,2,2,1,221,About to sleep
CUST0000075158,2008-05-01,66,12,25.75,2,1,1,211,About to sleep
CUST0000075238,2008-07-02,4,95,148.0,3,1,1,311,Recent customer
CUST0000075283,2008-07-01,5,5,4.65,3,2,2,322,potential Lotalist
CUST0000075510,2008-06-27,9,4,4.289999999999999,3,2,2,322,potential Lotalist
CUST0000075764,2008-06-17,19,34,39.78,3,1,1,311,Recent customer
CUST0000075785,2008-06-26,10,6,3.64,3,2,2,322,potential Lotalist
CUST0000075952,2008-05-13,54,1,0.01,2,3,3,233,Loyal
CUST0000075967,2008-02-11,146,2,0.74,1,2,3,123,Cannot Loose them
CUST0000076024,2008-04-07,90,4,7.65,2,2,2,222,Average
CUST0000076365,2008-06-07,29,10,23.01,2,1,1,211,About to sleep
CUST0000076448,2008-07-05,1,1,0.57,3,3,3,333,Campion
CUST0000076985,2007-09-29,281,1,0.75,1,3,3,133,Cannot Loose them
CUST0000077225,2008-07-05,1,37,61.79,3,1,1,311,Recent customer
CUST0000077682,2008-07-03,3,21,28.14,3,1,1,311,Recent customer
CUST0000078129,2007-11-27,222,1,1.54,1,3,3,133,Cannot Loose them
CUST0000078366,2008-06-20,16,7,18.51,3,1,1,311,Recent customer
CUST0000078836,2008-06-09,27,1,0.38,2,3,3,233,Loyal
CUST0000079699,2008-05-12,55,2,2.39,2,2,2,222,Average
CUST0000080145,2008-07-06,0,1,0.52,3,3,3,333,Campion
CUST0000080409,2007-08-08,333,1,1.7,1,3,3,133,Cannot Loose them
CUST0000080416,2007-09-01,309,2,3.64,1,2,2,122,About to sleep
CUST0000080438,2008-04-30,67,3,2.69,2,2,2,222,Average
CUST0000080650,2008-06-18,18,5,4.23,3,2,2,322,potential Lotalist
CUST0000081078,2008-04-25,72,3,5.46,2,2,2,222,Average
CUST0000081534,2008-01-28,160,2,0.6,1,2,3,123,Cannot Loose them
CUST0000081896,2008-07-06,0,30,40.04,3,1,1,311,Recent customer
CUST0000082008,2008-06-06,30,4,5.66,2,2,2,222,Average
CUST0000082191,2007-12-27,192,4,4.95,1,2,2,122,About to sleep
CUST0000082996,2008-07-03,3,48,80.03,3,1,1,311,Recent customer
